wals_code,Name,latitude,longitude
coe,Coeur d'Alene,47.25,-116.5
cof,Cofán,0.166666666667,-77.1666666667
cog,Cogui,11.0,-73.8333333333
coi,Chortí,14.8333333333,-89.25
col,Chol,17.75,-92.5
com,Comorian,-12.0,44.0
coo,Coos (Hanis),43.5,-124.166666667
cop,Coptic,26.0,32.0
cor,Cora,22.1666666667,-104.833333333
cos,Costanoan,37.0,-122.0
cpa,Campa Pajonal Asheninca,-10.6666666667,-74.25
cpl,Chinantec (Palantla),18.8333333333,-96.75
cpn,Chepang,27.6666666667,84.75
cpw,Chippewa (Red Lake and Pillager),48.0,-95.0
cpy,Chipaya,-18.75,-67.8333333333
cqt,Chiquitano,-17.5,-60.0
cre,Cree (Plains),54.0,-110.0
crg,Chiriguano,-23.6666666667,-64.3333333333
crh,Chru,11.5,108.5
cri,Crimean Tatar,45.0,34.0833333333
crj,Carijona,1.0,-73.0
crk,Creek,34.0,-85.0
crl,Carolinian,15.2,145.75
crn,Cornish,50.3333333333,-5.0
cro,Crow,47.0,-108.0
crp,Carapana,0.833333333333,-70.75
crq,Carrier,53.75,-123.5
crt,Chorote,-22.5,-62.5
csc,Chinantec (Sochiapan),17.75,-96.6666666667
csf,Chinantec (San Felipe Usila),17.9166666667,-96.5
csh,Cashinahua,-10.5,-71.8333333333
csk,Diola-Kasa,12.5,-16.75
csl,Chinese Sign Language,35.0,115.0
cso,Chatino (Sierra Occidental),16.25,-97.3333333333
ctc,Cuicatec,17.8333333333,-96.8333333333
cte,Chinantec (Tepetotutla),17.8333333333,-96.5
cti,Chin (Tiddim),23.3333333333,93.6666666667
ctl,Catalan,41.75,2.0
ctm,Chitimacha,29.6666666667,-91.0
ctt,Chatino (Tataltepec),16.1666666667,-97.5833333333
ctw,Catawba,35.5,-80.5
cua,Cua,15.25,108.5
cub,Cubeo,1.33333333333,-70.5
cuc,Cuica,9.0,-70.5
cui,Cuiba,6.5,-70.0
cul,Culina,-6.0,-70.5
cum,Chumburung,7.75,0.25
cup,Cupeño,33.1666666667,-116.5
cur,Curripaco,2.5,-68.5
cut,Cuitlatec,17.5,-101.0
cuu,Chuukese,7.33333333333,151.75
cvc,Chavacano,7.0,122.083333333
cve,Chuave,-6.11666666667,145.116666667
cwe,Columbia-Wenatchi,47.5,-120.0
cya,Chatino (Yaitepec),16.25,-97.25
cyg,Cayuga,42.75,-76.75
cyn,Cheyenne,47.0,-95.0
cyv,Cayuvava,-13.5,-65.5
cze,Czech,50.0,15.0
daa,Da'a,-1.0,119.583333333
dab,Daba,10.1666666667,13.75
dad,Dadibi,-6.55,144.583333333
dag,Daga,-10.0,149.333333333
dah,Dahalo,-2.33333333333,40.5
dak,Dakota,45.0,-93.5
dam,Damana,11.0,-73.5
dan,Dan,7.5,-8.0
dar,Darai,24.0,84.0
dat,Datooga,-4.33333333333,35.3333333333
daw,Dâw,-0.25,-67.0833333333
day,Day,8.75,17.8333333333
dbd,Dabida,-4.0,38.6666666667
dbr,Dutch (Brabantic),50.75,4.5
dbw,Dan (Blowo),7.33333333333,-8.16666666667
dca,Dumagat (Casiguran),16.3333333333,122.0
dda,Dhuwal (Dätiwuy),-12.1666666667,136.25
ddf,Daju (Dar Fur),12.25,25.25
ddj,Dadjriwalé,5.25,-5.66666666667
dds,Donno So,14.3333333333,-3.58333333333
def,Defaka,4.58333333333,7.5
deg,Degema,4.75,6.75
den,Dení,-6.0,-67.0
der,Dla (Proper),-3.58333333333,141.0
des,Desano,0.833333333333,-69.8333333333
det,Deti,-20.5,24.5
deu,Deuri,26.0,90.25
dga,Dagaare,10.5,-2.66666666667
dgb,Dagbani,9.58333333333,-0.5
dge,Deutsche Gebärdensprache,52.0,11.0
dgi,Dogri,33.0,75.0
dgo,Dongo,3.0,30.0
dgr,Dagur,48.0,124.0
dgx,Degexit'an,62.0,-160.0
dha,Dhaasanac,4.66666666667,36.3333333333
dhb,Dharumbal,-22.75,150.5
dhi,Dhivehi,4.16666666667,73.5
dhl,Dhalandji,-22.08,115.0
dhm,Dhimal,26.6666666667,87.75
dhr,Dhargari,-23.75,114.916666667
dhu,Dhurga,-35.6666666667,150.0
dhw,Dharawal,-34.5,150.5
did,Didinga,4.5,33.5
die,Diegueño (Mesa Grande),32.6666666667,-116.166666667
dig,Digaro,28.4166666667,96.0
dim,Dime,6.16666666667,36.25
din,Dinka,8.5,28.0
dio,Diola-Fogny,13.0,-16.25
diy,Diyari,-28.0,139.0
diz,Dizi,6.16666666667,36.5
dja,Djabugay,-16.75,145.583333333
dji,Djingili,-17.75,134.0
djm,Djambarrpuyngu,-12.1666666667,135.5
djn,Djinang,-12.3333333333,134.833333333
djp,Djapu,-12.6666666667,136.0
djr,Djaru,-18.75,128.0
dli,Dutch (Limburg),51.0,5.5
dlm,Dla (Menggwa),-3.55,141.033333333
dma,Duma,-0.95,13.0
dmi,Dumi,27.25,86.6666666667
dmk,Dumaki,36.1666666667,74.0
dms,Dimasa,25.5,93.0
dng,Ding,-4.33333333333,19.5
dni,Dani (Lower Grand Valley),-4.33333333333,138.833333333
dnw,Dangaléat (Western),12.1666666667,18.3333333333
dob,Dobel,-6.25,134.666666667
dok,Doko,3.0,23.0833333333
dol,Dolgan,71.25,98.0
dom,Domari,32.0,35.0
don,Dong,27.0,109.0
dou,Doutai,-3.33333333333,138.166666667
doy,Doyayo,8.66666666667,13.0833333333
dre,Drehu,-21.0,167.25
drg,Dargwa,42.25,47.4166666667
dri,Dari,35.0,66.0
drm,Darma,30.0,79.75
dsh,Danish,56.0,10.0
dts,Toro So,14.4166666667,-3.25
dua,Duala,4.0,9.41666666667
dug,Dullay (Gollango),5.5,37.25
duk,Duka,11.1666666667,5.08333333333
dul,Dulong,28.0,98.3333333333
dum,Dumo,-2.68333333333,141.3
dun,Duna,-5.5,142.5
dut,Dutch,52.5,6.0
duz,Dutch (Zeeuws),51.5,3.75
dyi,Dyirbal,-17.8333333333,145.583333333
dym,Dyimini,8.41666666667,-4.41666666667
dyu,Dyula,9.83333333333,-4.66666666667
ebi,Ebira,8.16666666667,7.0
edo,Edolo,-6.16666666667,142.666666667
efi,Efik,4.91666666667,8.5
ega,Ega,5.5,-5.5
egn,Engenni,5.16666666667,6.38333333333
eip,Eipo,-4.33333333333,140.083333333
eja,Ejagham,5.41666666667,8.66666666667
eka,Ekari,-3.83333333333,135.5
eko,Ekoti,-16.5,39.5
els,Elseng,-3.0,140.5
emb,Emberá (Northern),6.83333333333,-77.1666666667
emc,Embera Chami,5.0,-76.0
eme,Émérillon,3.16666666667,-52.4166666667
eml,Embaloh,1.16666666667,112.333333333
emm,Emmi,-13.5,130.0
ena,Enga,-5.5,143.666666667
ene,Enets,67.5,86.5
eng,English,52.0,0.0
eno,Enggano,-5.41666666667,102.25
eny,Enya,-0.5,25.25
epe,Epena Pedee,3.0,-77.0
erk,Efate (South),-17.75,168.416666667
err,Erromangan,-18.8333333333,169.166666667
ese,Ese Ejja,-11.0,-66.0
esm,Esmeraldeño,0.333333333333,-79.8333333333
ess,Esselen,36.25,-121.75
est,Estonian,59.0,26.0
ets,Etsako,7.25,6.5
eud,Eudeve,29.1666666667,-109.666666667
eve,Evenki,56.0,125.0
evn,Even,68.0,130.0
ewa,Ewe (Anglo),6.0,1.0
ewe,Ewe,6.33333333333,0.416666666667
ewo,Ewondo,4.0,12.0
eya,Eyak,60.5,-145.0
far,Faroese,62.0,-7.0
fas,Fasu,-6.58333333333,143.333333333
fbf,Fula (Burkina Faso),14.0,0.0
fea,Frisian (Eastern),53.5833333333,7.5
fef,Fe'fe',5.25,10.1666666667
fgo,Fulani (Gombe),10.25,11.25
fgu,Fula (Guinean),11.5,-12.5
fij,Fijian,-17.8333333333,178.0
fin,Finnish,62.0,25.0
fio,Fiote,-5.5,14.0
fiw,Fijian (Wayan),-17.0,177.3
fli,Ful (Liptako),13.5,0.5
